bgt_lokaal_id,vec_pand_outline,room,verdieping,appartement,ruimte,attachment,vec_pand_rooms,perceel_id,bag_pnd,bgt_geometry
G0402.0140cbbe87044755b6c3e1d7da8e6ac0,"POLYGON ((140771.40088127714 470886.0453630605, 140774.30270311947 470885.77647474554, 140776.09392209467 470885.6104969984, 140776.0860340889 470885.03296079114, 140775.99201394524 470878.1490868835, 140772.387998147 470878.2156895822, 140771.28200507874 470878.2361284835, 140771.3669385525 470882.3058323956, 140771.38673895597 470883.17509177147, 140771.38272214602 470883.87361760286, 140771.40172365794 470884.4573660428, 140771.40088127714 470886.0453630605))",r1,2e VERDIEPING,1,slaapkamer,front,"POLYGON ((140788.62802973884 470877.90744052373, 140788.65578988846 470879.85937814676, 140787.87745968142 470879.86848885164, 140787.59482624586 470879.871797203, 140786.94530988112 470879.879400084, 140786.89573427534 470877.96384413406, 140788.62802973884 470877.90744052373))",HVS00N1882,0402100001478304,"MULTIPOLYGON (((140756.029 470861.477, 140761.933 470860.638, 140770.29 470859.873, 140770.246 470864.431, 140770.188 470870.566, 140767.005 470870.763, 140767.432 470880.974, 140767.54 470880.965, 140767.685 470883.853, 140762.238 470883.878, 140756.791 470883.904, 140756.815 470883.565, 140756.169 470870.512, 140756.029 470861.477)))"
G0402.0f96c297cb264cc689da389482cf646a,"POLYGON ((140146.8383285903 470297.56898721046, 140146.839683966 470299.72915208945, 140144.04237598175 470299.7260122552, 140144.04245734314 470302.25591718114, 140144.04251392419 470304.015286135, 140146.84237226978 470304.01370530116, 140146.84306883335 470305.12387140485, 140144.0423380029 470305.1287698392, 140144.04247454225 470307.9309447465, 140152.7432144708 470307.9486837701, 140152.74320609408 470308.3420776554, 140160.2631433934 470308.17166097707, 140160.26286762272 470311.7830325744, 140164.42894344326 470311.7842121678, 140164.44105234832 470313.5095053122, 140172.21774261686 470312.8195538921, 140172.2309045481 470305.5137806207, 140172.23281666674 470304.4524238256, 140172.25268493718 470293.4241729816, 140159.86714510436 470293.35650170536, 140159.86880445317 470297.5502124066, 140158.81167666827 470297.31596761855, 140158.81310919885 470293.35639229754, 140152.74352674282 470293.28354356234, 140146.8355917897 470293.20714094397, 140146.837141548 470295.6771080457, 140145.62564268865 470295.67678838765, 140145.62610963837 470297.29681441246, 140146.8383285903 470297.56898721046))",r1,begane grond schaal 1:100,2,,front,"POLYGON ((140158.81310919885 470293.35639229754, 140158.81167666827 470297.31596761855, 140159.86880445317 470297.5502124066, 140159.86714510436 470293.35650170536, 140172.25268493718 470293.4241729816, 140172.23281666674 470304.4524238256, 140169.45890818225 470304.4471891799, 140169.20046435177 470305.51615555916, 140172.2309045481 470305.5137806207, 140172.21774261686 470312.8195538921, 140164.44105234832 470313.5095053122, 140164.42894344326 470311.7842121678, 140160.26286762272 470311.7830325744, 140160.2631433934 470308.17166097707, 140152.74320609408 470308.3420776554, 140152.7432144708 470307.9486837701, 140152.74333171215 470302.44271239574, 140152.74334183222 470301.96744634886, 140152.74352674282 470293.28354356234, 140158.81310919885 470293.35639229754))",HVS00N9252,0402100001523008,"MULTIPOLYGON (((140111.615 470273.071, 140106.804 470272.501, 140107.725 470264.494, 140112.64 470265.097, 140112.396 470267.522, 140111.735 470273.081, 140111.615 470273.071)))"
G0402.320c9653ce854333ad5d5f2bdda543ed,"POLYGON ((140771.40088127714 470886.0453630605, 140774.30270311947 470885.77647474554, 140776.09392209467 470885.6104969984, 140776.0860340889 470885.03296079114, 140775.99201394524 470878.1490868835, 140772.387998147 470878.2156895822, 140771.28200507874 470878.2361284835, 140771.3669385525 470882.3058323956, 140771.38673895597 470883.17509177147, 140771.38272214602 470883.87361760286, 140771.40172365794 470884.4573660428, 140771.40088127714 470886.0453630605))",r1,2e VERDIEPING,1,slaapkamer,front,"POLYGON ((140788.62802973884 470877.90744052373, 140788.65578988846 470879.85937814676, 140787.87745968142 470879.86848885164, 140787.59482624586 470879.871797203, 140786.94530988112 470879.879400084, 140786.89573427534 470877.96384413406, 140788.62802973884 470877.90744052373))",HVS00N1882,0402100001491022,"MULTIPOLYGON (((140744.037 470870.459, 140742.785 470870.472, 140742.444 470860.393, 140747.513 470860.553, 140756.029 470861.477, 140756.169 470870.512, 140750.029 470870.485, 140744.037 470870.459)))"
G0402.35a2d40ea3b344aca9155f2ca70ca8cd,"POLYGON ((140325.43758117536 470659.8953413676, 140324.58882294543 470659.8910852997, 140324.58015200996 470660.82422323, 140324.56976787705 470661.94172990957, 140324.5638070733 470662.58321226307, 140324.59465448724 470665.65617842594, 140324.5654205836 470666.56732003397, 140327.1290501493 470666.71222876926, 140327.34370925356 470665.807886666, 140327.90395586466 470664.26628477965, 140328.58884622424 470662.3817070788, 140328.78464479034 470661.84293819935, 140329.05307608485 470661.1043095638, 140329.0477329884 470658.56791179226, 140328.18873175877 470658.56827091554, 140328.18422356324 470658.21798760147, 140326.39948601442 470658.22249443736, 140326.41300630802 470658.5690132943, 140325.67029300748 470658.56932380097, 140325.67913933474 470659.89557305066, 140325.43758117536 470659.8953413676))",r1,2e VERDIEPING schaal 1:100,3,douche,front,"POLYGON ((140343.21756455477 470664.45108379563, 140343.21724325384 470663.59571123275, 140345.19045329985 470663.712544559, 140344.89372803402 470664.5390718926, 140343.21756455477 470664.45108379563))",HVS00N4216,0402100001517669,"MULTIPOLYGON (((140316.392 470654.129, 140315.3 470656.067, 140314.827 470656.907, 140314.783 470656.882, 140311.496 470655.036, 140311.291 470654.921, 140307.99 470650.308, 140307.319 470649.371, 140307.233 470649.316, 140308.619 470647.151, 140309.724 470647.79, 140317.448 470652.254, 140316.392 470654.129)))"
G0402.462b7ee9a12f43bab91a6b00c4817987,"POLYGON ((140146.8383285903 470297.56898721046, 140146.839683966 470299.72915208945, 140144.04237598175 470299.7260122552, 140144.04245734314 470302.25591718114, 140144.04251392419 470304.015286135, 140146.84237226978 470304.01370530116, 140146.84306883335 470305.12387140485, 140144.0423380029 470305.1287698392, 140144.04247454225 470307.9309447465, 140152.7432144708 470307.9486837701, 140152.74320609408 470308.3420776554, 140160.2631433934 470308.17166097707, 140160.26286762272 470311.7830325744, 140164.42894344326 470311.7842121678, 140164.44105234832 470313.5095053122, 140172.21774261686 470312.8195538921, 140172.2309045481 470305.5137806207, 140172.23281666674 470304.4524238256, 140172.25268493718 470293.4241729816, 140159.86714510436 470293.35650170536, 140159.86880445317 470297.5502124066, 140158.81167666827 470297.31596761855, 140158.81310919885 470293.35639229754, 140152.74352674282 470293.28354356234, 140146.8355917897 470293.20714094397, 140146.837141548 470295.6771080457, 140145.62564268865 470295.67678838765, 140145.62610963837 470297.29681441246, 140146.8383285903 470297.56898721046))",r1,begane grond schaal 1:100,2,,front,"POLYGON ((140158.81310919885 470293.35639229754, 140158.81167666827 470297.31596761855, 140159.86880445317 470297.5502124066, 140159.86714510436 470293.35650170536, 140172.25268493718 470293.4241729816, 140172.23281666674 470304.4524238256, 140169.45890818225 470304.4471891799, 140169.20046435177 470305.51615555916, 140172.2309045481 470305.5137806207, 140172.21774261686 470312.8195538921, 140164.44105234832 470313.5095053122, 140164.42894344326 470311.7842121678, 140160.26286762272 470311.7830325744, 140160.2631433934 470308.17166097707, 140152.74320609408 470308.3420776554, 140152.7432144708 470307.9486837701, 140152.74333171215 470302.44271239574, 140152.74334183222 470301.96744634886, 140152.74352674282 470293.28354356234, 140158.81310919885 470293.35639229754))",HVS00N9252,0402100001475455,"MULTIPOLYGON (((140134.419 470281.804, 140126.568 470280.848, 140119.783 470280.022, 140112.727 470279.163, 140114.147 470267.322, 140121.198 470268.163, 140127.985 470268.973, 140135.838 470269.91, 140142.636 470270.721, 140148.58 470271.431, 140147.121 470283.371, 140145.851 470293.758, 140137.197 470292.737, 140137.465 470290.543, 140134.663 470290.167, 140135.646 470281.968, 140135.648 470281.954, 140134.419 470281.804)))"
G0402.76b28c526e33454ab1b3b4aeb8b31094,"POLYGON ((140802.24492459 470392.4032535571, 140802.25473829795 470398.7753922285, 140802.25638222875 470399.8428129274, 140802.2582158979 470401.03343263816, 140802.25981247844 470402.07010835054, 140803.4977452114 470401.96337684325, 140804.2808035953 470401.8958634805, 140805.07322873626 470401.82754253916, 140808.03497825377 470401.5721877999, 140811.891497278 470401.2396882405, 140811.87346267691 470395.9587792106, 140810.2360389996 470395.9619855938, 140809.39987940903 470395.96362295136, 140809.3801698289 470389.8394727389, 140809.20573468908 470389.8409397016, 140809.21819692262 470388.70981920743, 140806.14403962233 470388.70963861735, 140804.00360759275 470388.7095128786, 140802.47618884346 470388.73201179394, 140802.49586562967 470389.8274195162, 140802.27979568337 470389.8415113131, 140802.24492459 470392.4032535571))",r1,2e verdieping,2,badkamer,front,"POLYGON ((140837.88993667814 470397.38300436176, 140836.36606559437 470397.3901551934, 140836.4029899168 470393.54849347525, 140839.07882135615 470393.54905688093, 140839.0795768836 470396.71178009425, 140837.8976433467 470396.7115503369, 140837.88993667814 470397.38300436176))",HVS00N2359,0402100001486324,"MULTIPOLYGON (((140790.734 470375.385, 140794.388 470371.805, 140795.321 470372.753, 140795.373 470372.716, 140799.682 470377.033, 140800.58 470377.932, 140802.38 470376.135, 140808.238 470381.094, 140803.711 470386.641, 140790.734 470375.385)))"
G0402.7df0a0e968c74a4d8943b683a5e27475,"POLYGON ((140733.41930035528 470840.61992925464, 140734.75335308965 470840.6222144109, 140735.85588482794 470840.6222144109, 140737.64523053105 470840.62831853685, 140739.2199788581 470840.6307170398, 140740.31237059855 470840.6323447827, 140740.2943728353 470842.94356754376, 140745.02019215308 470843.07601707504, 140745.0025646476 470840.63933351194, 140745.00478134822 470838.74646009464, 140745.0141876652 470830.71426706394, 140740.7303451152 470830.7078141215, 140740.49143534125 470830.7074542411, 140739.64273257868 470830.7061758024, 140739.23474767254 470830.7055612366, 140737.65526774744 470830.7031819958, 140733.4393505179 470830.6880701835, 140733.44238140996 470835.6504816228, 140733.42987896854 470838.0511420232, 140733.41930035528 470840.61992925464))",r1,BEGANE GROND,5,cafe,front,"POLYGON ((140745.0141876652 470830.71426706394, 140745.00478134822 470838.74646009464, 140740.7168673492 470838.7464438115, 140740.71690970036 470837.17866372043, 140740.71693163447 470836.3666952099, 140740.7169530437 470835.5741551595, 140740.71699300504 470834.0948436729, 140740.49099663904 470834.0948743635, 140740.50509285205 470833.31143790897, 140740.49395313457 470831.1875045829, 140740.73357769902 470831.1777924138, 140740.7303451152 470830.7078141215, 140745.0141876652 470830.71426706394))",HVS00N3211,0402100001487365,"MULTIPOLYGON (((140703.22 470804.564, 140704.157 470792.094, 140708.819 470792.447, 140707.885 470804.896, 140703.22 470804.564)))"
G0402.82fd645236d84d8386b1da9c1768987e,"POLYGON ((140733.41930035528 470840.61992925464, 140734.75335308965 470840.6222144109, 140735.85588482794 470840.6222144109, 140737.64523053105 470840.62831853685, 140739.2199788581 470840.6307170398, 140740.31237059855 470840.6323447827, 140740.2943728353 470842.94356754376, 140745.02019215308 470843.07601707504, 140745.0025646476 470840.63933351194, 140745.00478134822 470838.74646009464, 140745.0141876652 470830.71426706394, 140740.7303451152 470830.7078141215, 140740.49143534125 470830.7074542411, 140739.64273257868 470830.7061758024, 140739.23474767254 470830.7055612366, 140737.65526774744 470830.7031819958, 140733.4393505179 470830.6880701835, 140733.44238140996 470835.6504816228, 140733.42987896854 470838.0511420232, 140733.41930035528 470840.61992925464))",r1,BEGANE GROND,5,cafe,front,"POLYGON ((140745.0141876652 470830.71426706394, 140745.00478134822 470838.74646009464, 140740.7168673492 470838.7464438115, 140740.71690970036 470837.17866372043, 140740.71693163447 470836.3666952099, 140740.7169530437 470835.5741551595, 140740.71699300504 470834.0948436729, 140740.49099663904 470834.0948743635, 140740.50509285205 470833.31143790897, 140740.49395313457 470831.1875045829, 140740.73357769902 470831.1777924138, 140740.7303451152 470830.7078141215, 140745.0141876652 470830.71426706394))",HVS00N3211,0402100001491498,"MULTIPOLYGON (((140704.157 470792.094, 140703.22 470804.564, 140697.897 470804.185, 140698.358 470797.953, 140698.719 470793.066, 140698.824 470791.69, 140704.157 470792.094)))"
G0402.8f205a00ba78468b9cc7b20dcede0ebb,"MULTIPOLYGON (((140770.44266568334 470924.1502338292, 140772.56270743164 470924.15033106034, 140774.70141404602 470924.15042914747, 140776.92268000104 470924.15053102106, 140779.15502416028 470924.1506334027, 140779.16022938583 470926.4236726801, 140779.55038725372 470926.4308448587, 140779.55178764835 470928.5211153611, 140779.55318672562 470930.60941950354, 140779.55389619217 470931.66839030077, 140783.1541124767 470931.5590941777, 140783.93155801028 470930.6773915332, 140783.9314837294 470930.61378763366, 140783.92903689953 470928.51866082964, 140783.92661199256 470926.4423057693, 140783.9211414655 470921.7581027195, 140786.5392532429 470921.7572910538, 140787.06761706556 470906.1959299874, 140782.09997199074 470906.0131102136, 140782.91869129988 470895.07103718206, 140776.45691395615 470894.32535847113, 140774.66951434553 470907.074825595, 140776.46153633954 470907.28621628764, 140776.13479969834 470910.1035445063, 140774.32403553816 470909.8960860102, 140774.1002242162 470912.4302210179, 140770.44039147967 470912.14292557567, 140770.44183101386 470919.74335780094, 140770.44266568334 470924.1502338292)), ((140774.82398256857 470930.6132997487, 140774.81346086157 470928.5182139966, 140770.44349314313 470928.5190443677, 140770.4438895099 470930.611775947, 140774.82398256857 470930.6132997487)), ((140774.85002451966 470931.08830726816, 140771.20343495224 470931.19263019966, 140771.2406908116 470931.9096358149, 140774.88702340264 470931.81006820634, 140774.85002451966 470931.08830726816)))",r1,Kelder schaal 1:100,14.,pp.,front,"POLYGON ((140750.41069151572 470924.15002980735, 140750.4162996963 470919.7418020075, 140752.5303133831 470919.73636943544, 140752.5341097121 470924.15003331436, 140750.41069151572 470924.15002980735))",HVS00N1878,0402100001487526,"MULTIPOLYGON (((140725.056 470849.703, 140725.753 470849.629, 140725.923 470850.991, 140728.43 470850.672, 140726.757 470838.252, 140727.699 470836.857, 140744.022 470834.307, 140746.837 470855.187, 140747.513 470860.553, 140742.444 470860.393, 140742.785 470870.472, 140742.829 470876.32, 140742.884 470883.537, 140742.142 470883.56, 140742.128 470883.275, 140735.239 470883.299, 140734.461 470883.313, 140734.445 470883.573, 140733.716 470883.572, 140733.317 470876.4, 140733.181 470873.962, 140733.029 470870.554, 140732.984 470869.547, 140728.283 470869.812, 140726.634 470869.905, 140725.729 470861.129, 140725.62 470860.117, 140726.36 470860.04, 140725.056 470849.703)))"
G0402.91edb6ba14ae4be9b361169cac5eaaa1,"POLYGON ((140802.24492459 470392.4032535571, 140802.25473829795 470398.7753922285, 140802.25638222875 470399.8428129274, 140802.2582158979 470401.03343263816, 140802.25981247844 470402.07010835054, 140803.4977452114 470401.96337684325, 140804.2808035953 470401.8958634805, 140805.07322873626 470401.82754253916, 140808.03497825377 470401.5721877999, 140811.891497278 470401.2396882405, 140811.87346267691 470395.9587792106, 140810.2360389996 470395.9619855938, 140809.39987940903 470395.96362295136, 140809.3801698289 470389.8394727389, 140809.20573468908 470389.8409397016, 140809.21819692262 470388.70981920743, 140806.14403962233 470388.70963861735, 140804.00360759275 470388.7095128786, 140802.47618884346 470388.73201179394, 140802.49586562967 470389.8274195162, 140802.27979568337 470389.8415113131, 140802.24492459 470392.4032535571))",r1,2e verdieping,2,badkamer,front,"POLYGON ((140837.88993667814 470397.38300436176, 140836.36606559437 470397.3901551934, 140836.4029899168 470393.54849347525, 140839.07882135615 470393.54905688093, 140839.0795768836 470396.71178009425, 140837.8976433467 470396.7115503369, 140837.88993667814 470397.38300436176))",HVS00N2359,0402100001481690,"MULTIPOLYGON (((140790.734 470375.385, 140803.711 470386.641, 140800.37 470390.795, 140795.957 470386.439, 140795.481 470386.081, 140793.82 470384.368, 140788.998 470379.29, 140787.963 470378.1, 140790.734 470375.385)))"
G0402.9261284698bb497e827e6cf76783e85d,"POLYGON ((140166.92548640032 470610.59994921234, 140162.6618171254 470610.6013798161, 140162.66168852043 470616.87875205063, 140163.9591525221 470621.8352340607, 140163.92515684728 470627.3076895159, 140163.9081977879 470630.0376749503, 140166.61479486089 470629.6356329414, 140166.47811419805 470627.3371474848, 140167.36180432147 470627.33582969283, 140167.50485204326 470629.5034225059, 140168.53497539522 470629.3504064305, 140170.92639370204 470627.4821453962, 140170.61690775424 470622.9385270606, 140170.55749685082 470622.06630500336, 140170.4727067469 470620.7883868433, 140170.68001501122 470618.55628045404, 140171.04251070492 470614.5452766961, 140171.55093909195 470610.71599951904, 140167.19885099796 470610.60075966374, 140166.92548640032 470610.59994921234))",r1,BEGANE GROND schaal 1:100,1,bedrijfsruimte,front,"POLYGON ((140167.19885099796 470610.60075966374, 140171.55093909195 470610.71599951904, 140171.04251070492 470614.5452766961, 140170.68001501122 470618.55628045404, 140166.9521783426 470618.525675952, 140166.92817737116 470611.39898809243, 140167.2069768422 470611.41224247287, 140167.19885099796 470610.60075966374))",HVS00N555,0402100001488255,"MULTIPOLYGON (((140155.341 470589.513, 140149.919 470603.631, 140147.442 470611.866, 140143.127 470610.85, 140144.398 470607.338, 140146.844 470600.74, 140147.376 470594.781, 140150.324 470587.478, 140155.341 470589.513)))"
G0402.93ba9ce4e953460b9fc845c26ba3e922,"POLYGON ((140163.9591525221 470621.8352340607, 140163.92515684728 470627.3076895159, 140163.9081977879 470630.0376749503, 140166.61479486089 470629.6356329414, 140166.47811419805 470627.3371474848, 140167.36180432147 470627.33582969283, 140167.50485204326 470629.5034225059, 140168.53497539522 470629.3504064305, 140170.92639370204 470627.4821453962, 140170.61690775424 470622.9385270606, 140170.55749685082 470622.06630500336, 140170.4727067469 470620.7883868433, 140170.68001501122 470618.55628045404, 140171.04251070492 470614.5452766961, 140171.55093909195 470610.71599951904, 140167.19885099796 470610.60075966374, 140166.92548640032 470610.59994921234, 140162.6618171254 470610.6013798161, 140162.66168852043 470616.87875205063, 140163.9591525221 470621.8352340607))",r1,BEGANE GROND schaal 1:100,1,bedrijfsruimte,front,"POLYGON ((140167.19885099796 470610.60075966374, 140171.55093909195 470610.71599951904, 140171.04251070492 470614.5452766961, 140170.68001501122 470618.55628045404, 140166.9521783426 470618.525675952, 140166.92817737116 470611.39898809243, 140167.2069768422 470611.41224247287, 140167.19885099796 470610.60075966374))",HVS00N555,0402100001488960,"MULTIPOLYGON (((140147.442 470611.866, 140149.919 470603.631, 140155.341 470589.513, 140160.785 470591.722, 140158.688 470595.191, 140154.098 470604.438, 140152.097 470610.958, 140147.957 470611.987, 140147.442 470611.866)))"
G0402.9b8b91b8bad24463a3edba4811ca1c04,"POLYGON ((140474.48596588086 470653.56051181717, 140476.15166544466 470653.56064111117, 140476.15144790694 470651.57386996597, 140477.83392439742 470651.5739631861, 140477.8170333909 470649.25443391857, 140478.57018721328 470649.26411638747, 140478.55562917274 470645.5775674649, 140478.54262442782 470642.28436132864, 140477.816381422 470642.28437799064, 140475.5333902007 470642.2844303686, 140473.5189469024 470642.2844765854, 140473.54292757533 470653.5604386172, 140474.48596588086 470653.56051181717))",r1,1e etage,2,keuken,front,"POLYGON ((140486.7709499944 470649.1058718313, 140486.78512454985 470651.436611189, 140484.58435568452 470651.4329127593, 140484.58371253373 470649.1013635574, 140485.92643572888 470649.1041311416, 140486.7709499944 470649.1058718313))",HVS00N2643,0402100001493021,"MULTIPOLYGON (((140456.886 470635.718, 140459.146 470635.276, 140459.63 470637.575, 140462.411 470636.976, 140462.58 470638.051, 140470.403 470636.461, 140470.59 470637.434, 140471.345 470637.28, 140472.215 470641.551, 140468.977 470642.196, 140469.186 470643.337, 140469.904 470643.205, 140469.956 470643.49, 140465.456 470644.305, 140464.303 470644.525, 140464.322 470644.626, 140463.951 470644.624, 140463.038 470640.083, 140460.41 470640.536, 140460.241 470639.52, 140459.971 470639.607, 140459.485 470637.063, 140457.225 470637.494, 140456.886 470635.718)))"
